============================================================
z_global + minSize (F4, F7, F8)
============================================================
| Point(j,k) | index_z0(j-1) || Point(j,k) | index_z2(j+1) || Point(j,k) | index_z0 && z2  |
---------------------------------------------------------------------------------------------
| (  6,  5) |      5.900317 || (206,  6) |      5.967264 || (  3,  4) |  4.949, 4.949 |
| (  7,  5) |      5.656233 || (207,  5) |      4.685022 || (  3,  5) |  5.900, 5.900 |
| (  8,  4) |      4.267289 || (207,  6) |      5.703193 || (  4,  4) |  4.949, 4.949 |
| (  8,  5) |      5.254465 || (208,  5) |      4.401376 || (  4,  5) |  5.900, 5.900 |
| (  9,  4) |      3.747927 || (208,  6) |      5.435239 || (  5,  4) |  4.949, 4.949 |
| (  9,  5) |      4.763175 || (209,  5) |      4.112823 || (  5,  5) |  5.900, 5.900 |
| (  9,  6) |      5.777569 || (209,  6) |      5.162897 || (  6,  4) |  4.949, 5.202 |
| ( 10,  4) |      3.077031 || (210,  5) |      3.818776 || (  7,  4) |  4.691, 5.604 |
| ( 10,  5) |      4.129724 || (210,  6) |      4.885632 || ( 53,  4) |  3.060, 5.838 |
| ( 10,  6) |      5.179355 || (210,  7) |      5.948550 || ( 54,  4) |  3.365, 5.570 |
| ( 11,  5) |      3.342296 || (211,  5) |      3.518608 || ( 55,  4) |  3.666, 5.298 |
| ( 11,  6) |      4.437435 || (211,  6) |      4.602872 || ( 56,  4) |  3.961, 5.023 |
| ( 11,  7) |      5.526830 || (211,  7) |      5.682094 || ( 56,  5) |  4.964, 5.970 |
| ( 12,  6) |      3.538838 || (212,  5) |      3.211645 || ( 57,  4) |  4.252, 4.745 |
| ( 12,  7) |      4.682205 || (212,  6) |      4.314003 || ( 57,  5) |  5.240, 5.707 |
| ( 12,  8) |      5.816556 || (212,  7) |      5.410141 || ( 58,  4) |  4.537, 4.641 |
| ( 13,  7) |      3.704621 || (213,  6) |      4.018366 || ( 58,  5) |  5.509, 5.608 |
| ( 13,  8) |      4.900135 || (213,  7) |      5.132090 || ( 59,  4) |  4.641, 4.641 |
| ( 14,  8) |      4.008997 || (214,  6) |      3.715248 || ( 59,  5) |  5.608, 5.608 |
| ( 14,  9) |      5.249579 || (214,  7) |      4.847296 || ( 60,  4) |  4.641, 4.641 |
| ( 15,  8) |      3.213740 || (214,  8) |      5.971116 || ( 60,  5) |  5.608, 5.608 |
| ( 15,  9) |      4.508350 || (215,  6) |      3.403874 || ( 61,  4) |  4.641, 4.641 |
| ( 15, 10) |      5.782147 || (215,  7) |      4.555058 || ( 61,  5) |  5.608, 5.608 |
| ( 16,  9) |      3.871026 || (215,  8) |      5.696672 || ( 62,  4) |  4.641, 4.641 |
| ( 16, 10) |      5.189011 || (216,  6) |      3.083402 || ( 62,  5) |  5.608, 5.608 |
| ( 17,  9) |      3.346937 || (216,  7) |      4.254618 || ( 63,  4) |  4.641, 4.641 |
| ( 17, 10) |      4.702390 || (216,  8) |      5.414818 || ( 63,  5) |  5.608, 5.608 |
| ( 18, 10) |      4.326442 || (217,  7) |      3.945146 || ( 64,  4) |  4.641, 4.641 |
| ( 18, 11) |      5.682638 || (217,  8) |      5.124806 || ( 64,  5) |  5.608, 5.608 |
| ( 19, 10) |      4.054381 || (218,  7) |      3.626889 || ( 65,  4) |  4.641, 4.641 |
| ( 19, 11) |      5.430410 || (218,  8) |      4.826902 || ( 65,  5) |  5.608, 5.608 |
| ( 20, 10) |      3.881864 || (219,  7) |      3.314433 || ( 66,  4) |  4.641, 4.641 |
| ( 20, 11) |      5.270607 || (219,  8) |      4.534769 || ( 66,  5) |  5.608, 5.608 |
| ( 21, 10) |      3.806987 || (219,  9) |      5.740371 || ( 67,  4) |  4.641, 4.641 |
| ( 21, 11) |      5.201271 || (220,  7) |      3.019257 || ( 67,  5) |  5.608, 5.608 |
| ( 22, 10) |      3.826167 || (220,  8) |      4.259105 || ( 68,  4) |  4.641, 4.641 |
| ( 22, 11) |      5.218999 || (220,  9) |      5.482677 || ( 68,  5) |  5.608, 5.608 |
| ( 23, 10) |      3.934441 || (221,  8) |      4.001312 || ( 69,  4) |  4.641, 4.641 |
| ( 23, 11) |      5.319216 || (221,  9) |      5.241930 || ( 69,  5) |  5.608, 5.608 |
| ( 24, 10) |      4.120679 || (222,  8) |      3.762692 || ( 70,  4) |  4.641, 4.641 |
| ( 24, 11) |      5.491722 || (222,  9) |      5.019300 || ( 70,  5) |  5.608, 5.608 |
| ( 25, 10) |      4.323426 || (223,  8) |      3.544649 || ( 71,  4) |  4.641, 4.641 |
| ( 25, 11) |      5.679676 || (223,  9) |      4.816048 || ( 71,  5) |  5.608, 5.608 |
| ( 26,  9) |      3.137281 || (224,  8) |      3.348673 || ( 72,  4) |  4.641, 4.641 |
| ( 26, 10) |      4.507814 || (224,  9) |      4.633515 || ( 72,  5) |  5.608, 5.608 |
| ( 26, 11) |      5.850746 || (224, 10) |      5.898375 || ( 73,  4) |  4.641, 4.641 |
| ( 27,  9) |      3.317286 || (225,  8) |      3.176330 || ( 73,  5) |  5.608, 5.608 |
| ( 27, 10) |      4.674662 || (225,  9) |      4.473113 || ( 74,  4) |  4.641, 4.641 |
| ( 28,  9) |      3.479538 || (225, 10) |      5.748896 || ( 74,  5) |  5.608, 5.608 |
| ( 28, 10) |      4.825160 || (226,  8) |      3.029241 || ( 75,  4) |  4.641, 4.641 |
| ( 29,  9) |      3.625211 || (226,  9) |      4.336305 || ( 75,  5) |  5.608, 5.608 |
| ( 29, 10) |      4.960365 || (226, 10) |      5.621481 || ( 76,  4) |  4.641, 4.641 |
| ( 30,  9) |      3.755350 || (227,  9) |      4.224588 || ( 76,  5) |  5.608, 5.608 |
| ( 30, 10) |      5.081218 || (227, 10) |      5.517488 || ( 77,  4) |  4.641, 4.641 |
| ( 31,  9) |      3.870884 || (228,  9) |      4.138749 || ( 77,  5) |  5.608, 5.608 |
| ( 31, 10) |      5.188562 || (228, 10) |      5.437619 || ( 78,  4) |  4.641, 4.641 |
| ( 32,  9) |      3.972650 || (229,  9) |      4.061395 || ( 78,  5) |  5.608, 5.608 |
| ( 32, 10) |      5.283152 || (229, 10) |      5.365671 || ( 79,  4) |  4.641, 4.641 |
| ( 33,  9) |      4.061395 || (230,  9) |      3.972650 || ( 79,  5) |  5.608, 5.608 |
| ( 33, 10) |      5.365671 || (230, 10) |      5.283152 || ( 80,  4) |  4.641, 4.641 |
| ( 34,  9) |      4.138749 || (231,  9) |      3.870884 || ( 80,  5) |  5.608, 5.608 |
| ( 34, 10) |      5.437619 || (231, 10) |      5.188562 || ( 81,  4) |  4.641, 4.641 |
| ( 35,  9) |      4.224588 || (232,  9) |      3.755350 || ( 81,  5) |  5.608, 5.608 |
| ( 35, 10) |      5.517488 || (232, 10) |      5.081218 || ( 82,  4) |  4.641, 4.641 |
| ( 36,  8) |      3.029241 || (233,  9) |      3.625211 || ( 82,  5) |  5.608, 5.608 |
| ( 36,  9) |      4.336305 || (233, 10) |      4.960365 || ( 83,  4) |  4.641, 4.641 |
| ( 36, 10) |      5.621481 || (234,  9) |      3.479538 || ( 83,  5) |  5.608, 5.608 |
| ( 37,  8) |      3.176330 || (234, 10) |      4.825160 || ( 84,  4) |  4.641, 4.641 |
| ( 37,  9) |      4.473113 || (235,  9) |      3.317286 || ( 84,  5) |  5.608, 5.608 |
| ( 37, 10) |      5.748896 || (235, 10) |      4.674662 || ( 85,  4) |  4.641, 4.641 |
| ( 38,  8) |      3.348673 || (236,  9) |      3.137281 || ( 85,  5) |  5.608, 5.608 |
| ( 38,  9) |      4.633515 || (236, 10) |      4.507814 || ( 86,  4) |  4.641, 4.641 |
| ( 38, 10) |      5.898375 || (236, 11) |      5.850746 || ( 86,  5) |  5.608, 5.608 |
| ( 39,  8) |      3.544649 || (237, 10) |      4.323426 || ( 87,  4) |  4.641, 4.641 |
| ( 39,  9) |      4.816048 || (237, 11) |      5.679676 || ( 87,  5) |  5.608, 5.608 |
| ( 40,  8) |      3.762692 || (238, 10) |      4.120679 || ( 88,  4) |  4.641, 4.641 |
| ( 40,  9) |      5.019300 || (238, 11) |      5.491722 || ( 88,  5) |  5.608, 5.608 |
| ( 41,  8) |      4.001312 || (239, 10) |      3.934441 || ( 89,  4) |  4.641, 4.641 |
| ( 41,  9) |      5.241930 || (239, 11) |      5.319216 || ( 89,  5) |  5.608, 5.608 |
| ( 42,  7) |      3.019257 || (240, 10) |      3.826167 || ( 90,  4) |  4.641, 4.641 |
| ( 42,  8) |      4.259105 || (240, 11) |      5.218999 || ( 90,  5) |  5.608, 5.608 |
| ( 42,  9) |      5.482677 || (241, 10) |      3.806987 || ( 91,  4) |  4.641, 4.641 |
| ( 43,  7) |      3.314433 || (241, 11) |      5.201271 || ( 91,  5) |  5.608, 5.608 |
| ( 43,  8) |      4.534769 || (242, 10) |      3.881864 || ( 92,  4) |  4.641, 4.641 |
| ( 43,  9) |      5.740371 || (242, 11) |      5.270607 || ( 92,  5) |  5.608, 5.608 |
| ( 44,  7) |      3.626889 || (243, 10) |      4.054381 || ( 93,  4) |  4.641, 4.641 |
| ( 44,  8) |      4.826902 || (243, 11) |      5.430410 || ( 93,  5) |  5.608, 5.608 |
| ( 45,  7) |      3.945146 || (244, 10) |      4.326442 || ( 94,  4) |  4.641, 4.641 |
| ( 45,  8) |      5.124806 || (244, 11) |      5.682638 || ( 94,  5) |  5.608, 5.608 |
| ( 46,  6) |      3.083402 || (245,  9) |      3.346937 || ( 95,  4) |  4.641, 4.641 |
| ( 46,  7) |      4.254618 || (245, 10) |      4.702390 || ( 95,  5) |  5.608, 5.608 |
| ( 46,  8) |      5.414818 || (246,  9) |      3.871026 || ( 96,  4) |  4.641, 4.641 |
| ( 47,  6) |      3.403874 || (246, 10) |      5.189011 || ( 96,  5) |  5.608, 5.608 |
| ( 47,  7) |      4.555058 || (247,  8) |      3.213740 || ( 97,  4) |  4.641, 4.641 |
| ( 47,  8) |      5.696672 || (247,  9) |      4.508350 || ( 97,  5) |  5.608, 5.608 |
| ( 48,  6) |      3.715248 || (247, 10) |      5.782147 || ( 98,  4) |  4.641, 4.641 |
| ( 48,  7) |      4.847296 || (248,  8) |      4.008997 || ( 98,  5) |  5.608, 5.608 |
| ( 48,  8) |      5.971116 || (248,  9) |      5.249579 || ( 99,  4) |  4.641, 4.641 |
| ( 49,  6) |      4.018366 || (249,  7) |      3.704621 || ( 99,  5) |  5.608, 5.608 |
| ( 49,  7) |      5.132090 || (249,  8) |      4.900135 || (100,  4) |  4.641, 4.641 |
| ( 50,  5) |      3.211645 || (250,  6) |      3.538838 || (100,  5) |  5.608, 5.608 |
| ( 50,  6) |      4.314003 || (250,  7) |      4.682205 || (101,  4) |  4.641, 4.641 |
| ( 50,  7) |      5.410141 || (250,  8) |      5.816556 || (101,  5) |  5.608, 5.608 |
| ( 51,  5) |      3.518608 || (251,  5) |      3.342296 || (102,  4) |  4.641, 4.641 |
| ( 51,  6) |      4.602872 || (251,  6) |      4.437435 || (102,  5) |  5.608, 5.608 |
| ( 51,  7) |      5.682094 || (251,  7) |      5.526830 || (103,  4) |  4.641, 4.641 |
| ( 52,  5) |      3.818776 || (252,  4) |      3.077031 || (103,  5) |  5.608, 5.608 |
