# Timestep, Rho_avg, Rho_min, Rho_max, V_avg, V_max, W_avg, W_max, Vmag_max
0 1.012322e+00 9.806117e-01 1.098416e+00 1.039642e-02 8.959811e-02 2.001489e-03 2.260079e-02 9.194397e-02
500 4.647016e-01 3.249454e-01 6.383411e-01 -1.021798e-02 1.695366e-01 -1.314916e-02 1.823535e-01 2.489888e-01
1000 4.647015e-01 3.249479e-01 6.383410e-01 -1.021639e-02 1.695216e-01 -1.314851e-02 1.823385e-01 2.489677e-01
1500 4.647015e-01 3.249479e-01 6.383410e-01 -1.021639e-02 1.695216e-01 -1.314852e-02 1.823384e-01 2.489676e-01
2000 4.647015e-01 3.249479e-01 6.383410e-01 -1.021639e-02 1.695216e-01 -1.314852e-02 1.823384e-01 2.489676e-01
2500 4.647015e-01 3.249479e-01 6.383410e-01 -1.021639e-02 1.695216e-01 -1.314852e-02 1.823384e-01 2.489676e-01
3000 4.647015e-01 3.249479e-01 6.383410e-01 -1.021639e-02 1.695216e-01 -1.314852e-02 1.823384e-01 2.489676e-01
3500 4.647015e-01 3.249479e-01 6.383410e-01 -1.021639e-02 1.695216e-01 -1.314852e-02 1.823384e-01 2.489676e-01
4000 4.647015e-01 3.249479e-01 6.383410e-01 -1.021639e-02 1.695216e-01 -1.314852e-02 1.823384e-01 2.489676e-01
4500 4.647015e-01 3.249479e-01 6.383410e-01 -1.021639e-02 1.695216e-01 -1.314852e-02 1.823384e-01 2.489676e-01
5000 4.647015e-01 3.249479e-01 6.383410e-01 -1.021639e-02 1.695216e-01 -1.314852e-02 1.823384e-01 2.489676e-01
5500 4.647015e-01 3.249479e-01 6.383410e-01 -1.021639e-02 1.695216e-01 -1.314852e-02 1.823384e-01 2.489676e-01
6000 4.647015e-01 3.249479e-01 6.383410e-01 -1.021639e-02 1.695216e-01 -1.314852e-02 1.823384e-01 2.489676e-01
6500 4.647015e-01 3.249479e-01 6.383410e-01 -1.021639e-02 1.695216e-01 -1.314852e-02 1.823384e-01 2.489676e-01
7000 4.647015e-01 3.249479e-01 6.383410e-01 -1.021639e-02 1.695216e-01 -1.314852e-02 1.823384e-01 2.489676e-01
7500 4.647015e-01 3.249479e-01 6.383410e-01 -1.021639e-02 1.695216e-01 -1.314852e-02 1.823384e-01 2.489676e-01
8000 4.647015e-01 3.249479e-01 6.383410e-01 -1.021639e-02 1.695216e-01 -1.314852e-02 1.823384e-01 2.489676e-01
8500 4.647015e-01 3.249479e-01 6.383410e-01 -1.021639e-02 1.695216e-01 -1.314852e-02 1.823384e-01 2.489676e-01
9000 4.647015e-01 3.249479e-01 6.383410e-01 -1.021639e-02 1.695216e-01 -1.314852e-02 1.823384e-01 2.489676e-01
9500 4.647015e-01 3.249479e-01 6.383410e-01 -1.021639e-02 1.695216e-01 -1.314852e-02 1.823384e-01 2.489676e-01
10000 4.647015e-01 3.249479e-01 6.383410e-01 -1.021639e-02 1.695216e-01 -1.314852e-02 1.823384e-01 2.489676e-01
10500 4.648352e-01 3.257992e-01 6.383307e-01 -9.310960e-03 1.606174e-01 -1.313013e-02 1.727679e-01 2.358955e-01
11000 4.648352e-01 3.257992e-01 6.383307e-01 -9.310963e-03 1.606174e-01 -1.313016e-02 1.727678e-01 2.358955e-01
11500 4.648352e-01 3.257992e-01 6.383307e-01 -9.310963e-03 1.606174e-01 -1.313016e-02 1.727678e-01 2.358955e-01
12000 4.648352e-01 3.257992e-01 6.383307e-01 -9.310963e-03 1.606174e-01 -1.313016e-02 1.727678e-01 2.358955e-01
12500 4.648352e-01 3.257992e-01 6.383307e-01 -9.310963e-03 1.606174e-01 -1.313016e-02 1.727678e-01 2.358955e-01
13000 4.648352e-01 3.257992e-01 6.383307e-01 -9.310963e-03 1.606174e-01 -1.313016e-02 1.727678e-01 2.358955e-01
13500 4.648352e-01 3.257992e-01 6.383307e-01 -9.310963e-03 1.606174e-01 -1.313016e-02 1.727678e-01 2.358955e-01
14000 4.648352e-01 3.257992e-01 6.383307e-01 -9.310963e-03 1.606174e-01 -1.313016e-02 1.727678e-01 2.358955e-01
14500 4.648352e-01 3.257992e-01 6.383307e-01 -9.310963e-03 1.606174e-01 -1.313016e-02 1.727678e-01 2.358955e-01
15000 4.648352e-01 3.257992e-01 6.383307e-01 -9.310963e-03 1.606174e-01 -1.313016e-02 1.727678e-01 2.358955e-01
15500 4.648352e-01 3.257992e-01 6.383307e-01 -9.310963e-03 1.606174e-01 -1.313016e-02 1.727678e-01 2.358955e-01
16000 4.648352e-01 3.257992e-01 6.383307e-01 -9.310963e-03 1.606174e-01 -1.313016e-02 1.727678e-01 2.358955e-01
16500 4.648352e-01 3.257992e-01 6.383307e-01 -9.310963e-03 1.606174e-01 -1.313016e-02 1.727678e-01 2.358955e-01
17000 4.648352e-01 3.257992e-01 6.383307e-01 -9.310963e-03 1.606174e-01 -1.313016e-02 1.727678e-01 2.358955e-01
17500 4.648352e-01 3.257992e-01 6.383307e-01 -9.310963e-03 1.606174e-01 -1.313016e-02 1.727678e-01 2.358955e-01
18000 4.648352e-01 3.257992e-01 6.383307e-01 -9.310963e-03 1.606174e-01 -1.313016e-02 1.727678e-01 2.358955e-01
18500 4.648352e-01 3.257992e-01 6.383307e-01 -9.310963e-03 1.606174e-01 -1.313016e-02 1.727678e-01 2.358955e-01
19000 4.648352e-01 3.257992e-01 6.383307e-01 -9.310963e-03 1.606174e-01 -1.313016e-02 1.727678e-01 2.358955e-01
19500 4.648352e-01 3.257992e-01 6.383307e-01 -9.310963e-03 1.606174e-01 -1.313016e-02 1.727678e-01 2.358955e-01
20000 4.648352e-01 3.257992e-01 6.383307e-01 -9.310963e-03 1.606174e-01 -1.313016e-02 1.727678e-01 2.358955e-01
20500 4.649634e-01 3.266308e-01 6.383200e-01 -8.410662e-03 1.602075e-01 -1.311399e-02 1.628467e-01 2.223601e-01
21000 4.649634e-01 3.266308e-01 6.383200e-01 -8.410664e-03 1.602075e-01 -1.311402e-02 1.628466e-01 2.223600e-01
21500 4.649634e-01 3.266308e-01 6.383200e-01 -8.410665e-03 1.602075e-01 -1.311402e-02 1.628466e-01 2.223600e-01
22000 4.649634e-01 3.266308e-01 6.383200e-01 -8.410665e-03 1.602075e-01 -1.311402e-02 1.628466e-01 2.223600e-01
